setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,86,,3,,0.5,1,NaN,5,1,5,0.813891172409058,NaN,0
1,12,,2,,0.5,1,NaN,5,1,5,0.983608961105347,3,1.65197587013245
1,352,,3,,0.8,3,352,1,1,1,1.68798208236694,3,0.596091985702515
1,350,,3,,0.8,2,NaN,5,1,5,1.06412601470947,3,0.868355989456177
1,354,,2,,0.8,1,NaN,5,1,5,0,NaN,0
1,356,,3,,0.8,3,356,1,1,1,0.664784908294678,3,0.660884857177734
1,78,,4,,0.8,2,NaN,5,1,5,1.19268703460693,NaN,0
2,10,346,1,4,0.8,3,NaN,5,1,5,1.09700393676758,NaN,0
2,4,102,2,4,0.8,3,NaN,5,1,5,1.0650680065155,3,1.157222032547
2,348,86,2,3,0.8,4,NaN,5,1,5,1.12922787666321,3,1.12537789344788
1,14,,2,,0.8,2,14,4,1,4,1.09726285934448,3,1.06166315078735
1,82,,1,,0.8,2,NaN,5,1,5,0.93729305267334,2,1.30165791511536
1,80,,4,,0.8,4,80,2,1,2,0.953596115112305,3,0.869826078414917
2,104,352,3,4,0.8,3,104,3,1,3,1.78566813468933,3,0.853909969329834
2,84,346,2,3,0.5,3,346,1,1,1,1.00209307670593,2,0.950169086456299
1,96,,1,,0.5,1,96,3,1,3,1.09806108474731,2,0.598349094390869
2,78,350,2,4,0.5,4,350,1,1,1,1.41815185546875,3,0.774393081665039
2,4,84,1,3,0.5,2,NaN,5,1,5,1.11891007423401,3,0.551024913787842
2,14,6,1,3,0.8,2,NaN,5,1,3,1.69073510169983,2,1.73487997055054
1,14,,3,,0.8,3,14,4,1,4,1.67487597465515,3,0.679157972335815
2,104,10,1,3,0.5,1,104,3,1,3,1.0233428478241,3,0.47152304649353
1,354,,4,,0.5,2,NaN,5,1,5,1.21554207801819,3,0.759593963623047
1,348,,1,,0.8,4,NaN,5,1,5,1.45553493499756,3,1.703537940979
1,10,,2,,0.5,4,NaN,5,1,5,1.67972302436829,3,1.49582314491272
2,102,96,1,2,0.5,1,102,3,1,3,0.784342765808105,1,0.498613119125366
2,78,80,2,3,0.8,3,80,2,1,4,2.24219107627869,1,1.98889088630676
1,98,,1,,0.8,2,NaN,5,1,5,1.4105339050293,3,0.538437128067017
2,96,94,2,4,0.8,2,96,3,1,2,2.22677278518677,1,0.570745944976807
2,346,102,1,3,0.5,1,346,1,1,1,1.21877193450928,3,1.41884613037109
2,6,84,1,2,0.8,3,NaN,5,1,5,1.25105404853821,3,1.2752640247345
1,98,,4,,0.8,1,NaN,5,1,5,1.23508405685425,3,1.37145495414734
2,350,80,3,4,0.5,4,80,2,1,2,1.69950103759766,3,0.53949499130249
1,4,,1,,0.8,1,4,4,1,4,1.74751305580139,3,1.25957202911377
2,96,86,1,4,0.5,1,96,3,1,3,1.82766008377075,1,1.69196200370789
1,96,,1,,0.8,1,96,3,1,3,1.33176898956299,3,0.507952928543091
1,10,,3,,0.8,3,10,4,1,4,1.53989505767822,3,1.11615610122681
1,82,,4,,0.5,2,NaN,5,1,5,1.23642516136169,NaN,0
2,348,12,1,3,0.8,3,12,4,1,1,1.89223599433899,1,0.492333889007568
2,348,356,1,4,0.8,4,356,1,1,1,2.56449389457703,2,0.812739849090576
2,10,346,2,4,0.8,3,NaN,5,1,5,1.15661406517029,3,1.46869993209839
2,104,8,1,4,0.8,1,104,3,1,3,1.49284315109253,3,0.492722988128662
1,82,,2,,0.5,4,NaN,5,1,5,1.49324202537537,2,1.18106698989868
2,352,12,1,2,0.5,2,12,4,1,2,2.10153102874756,1,0.653532028198242
2,350,96,2,4,0.5,4,96,3,1,4,1.57344889640808,3,0.829556941986084
1,94,,3,,0.5,1,NaN,5,1,5,1.41354990005493,2,1.61385011672974
1,98,,4,,0.5,2,NaN,5,1,5,0,2,1.99093699455261
1,356,,2,,0.5,2,356,1,1,1,1.28594398498535,3,1.08599495887756
2,346,94,2,3,0.8,3,94,3,1,3,1.43007516860962,2,1.27839088439941
1,84,,3,,0.5,3,84,2,1,2,0.767673969268799,3,1.26616311073303
1,86,,1,,0.8,3,NaN,5,1,5,0,1,1.69014811515808
2,94,352,1,3,0.5,1,94,3,1,3,1.45820593833923,3,0.810464143753052
2,76,84,1,4,0.5,1,76,2,1,5,2.99000811576843,3,1.49840998649597
2,356,4,2,4,0.8,4,4,4,1,4,1.44249105453491,3,0.954602956771851
2,76,94,2,4,0.8,4,94,3,1,2,2.03486299514771,2,1.62671208381653
1,350,,4,,0.5,3,NaN,5,1,5,1.45908498764038,2,1.99047493934631
2,14,96,1,3,0.5,4,NaN,5,1,5,0,3,0.667235136032104
1,96,,1,,0.5,1,96,3,1,3,0.867095947265625,3,1.57912182807922
2,356,350,1,2,0.8,4,NaN,5,1,5,0,3,1.43542003631592
1,78,,2,,0.8,1,NaN,5,1,5,1.9395649433136,1,0.555381059646606
1,96,,2,,0.8,4,NaN,5,1,5,0,2,1.4356849193573
2,100,76,3,4,0.8,4,76,2,1,2,1.69972705841064,3,0.683865070343018
2,12,352,2,3,0.5,3,352,1,1,1,2.4838330745697,3,0.555830955505371
1,12,,4,,0.8,4,12,4,1,4,1.63633394241333,3,0.860361099243164
1,80,,3,,0.5,4,NaN,5,1,5,1.412358045578,1,1.13245916366577
2,78,10,2,4,0.5,4,10,4,1,5,2.43655014038086,1,0.796380043029785
1,100,,1,,0.8,3,NaN,5,1,5,1.09262990951538,3,1.5168080329895
1,100,,1,,0.8,1,100,3,1,3,1.3331470489502,3,1.2291579246521
1,8,,4,,0.8,4,8,4,1,4,1.47720193862915,3,1.29304981231689
2,80,14,1,3,0.5,2,NaN,5,1,5,1.23741912841797,3,0.797266006469727
1,348,,4,,0.8,1,NaN,5,1,5,1.55740094184875,2,1.99184703826904
2,80,346,3,4,0.5,1,NaN,5,1,5,1.50952696800232,3,0.493844032287598
1,80,,3,,0.8,3,80,2,1,2,1.81372594833374,3,0.925801992416382
2,354,80,2,4,0.5,4,80,2,1,2,0.679924011230469,2,1.27973985671997
1,76,,4,,0.5,4,76,2,1,2,1.62683701515198,3,1.2072069644928
2,98,4,1,2,0.5,2,4,4,1,2,1.96325588226318,1,1.55944204330444
2,346,4,1,2,0.8,3,NaN,5,1,5,1.61133408546448,1,1.98592209815979
2,4,346,2,3,0.5,3,346,1,1,5,2.0757360458374,2,0.999677896499634
1,96,,2,,0.5,2,96,3,1,3,1.19582891464233,2,1.30393290519714
1,354,,2,,0.8,2,354,1,1,1,0.731765985488892,3,0.856128931045532
1,96,,3,,0.5,2,NaN,5,1,5,1.45194697380066,2,0.93640398979187
