setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,104,,4,,0.8,1,NaN,5,1,5,0.497986078262329,3,1.53387188911438
1,94,,2,,0.8,1,NaN,5,1,5,1.03060102462769,2,0.60285210609436
1,70,,2,,0.8,4,NaN,5,1,5,0.935603857040405,3,0.544203996658325
1,84,,1,,0.5,1,84,2,1,2,0.600733041763306,3,0.529354095458984
1,352,,4,,0.5,2,NaN,5,1,2,1.96197199821472,1,0.498622179031372
2,96,112,2,4,0.8,1,NaN,5,1,5,0.923288106918335,3,0.643692016601562
1,14,,1,,0.5,1,14,4,1,4,0.524240970611572,3,0.568973064422607
2,70,102,2,3,0.5,3,102,3,1,3,1.24963402748108,2,0.57055401802063
1,70,,3,,0.5,3,70,2,1,2,0.786734819412231,3,0.63529896736145
1,340,,1,,0.8,2,NaN,5,1,5,1.14427399635315,3,0.508620023727417
1,22,,2,,0.8,2,22,4,1,4,0.52551794052124,3,0.626146793365479
1,94,,3,,0.5,3,94,3,1,3,1.11887907981873,3,0.611034154891968
2,350,348,2,3,0.8,4,NaN,5,1,5,0.900148153305054,3,0.54826283454895
1,354,,3,,0.5,2,NaN,5,1,5,1.10505390167236,3,0.473878145217896
2,14,96,3,4,0.8,1,NaN,5,1,5,1.17007803916931,3,0.458685874938965
2,104,100,2,4,0.5,4,100,3,1,2,1.89129519462585,2,1.06788992881775
2,96,72,1,3,0.8,1,96,3,1,3,1.20477795600891,2,0.557254076004028
2,352,350,1,4,0.5,2,NaN,5,1,5,0.981958150863647,3,0.64268684387207
2,96,78,1,4,0.8,1,96,3,1,3,1.32750511169434,2,0.851593017578125
2,78,342,1,4,0.5,4,342,1,1,1,1.05231690406799,3,0.548852920532227
1,356,,4,,0.8,1,NaN,5,1,5,1.0055410861969,2,0.486078023910522
2,344,18,3,4,0.5,4,18,4,1,4,1.41099405288696,3,0.731401920318604
2,22,74,1,2,0.5,3,NaN,5,1,5,0.984028100967407,3,0.428333044052124
1,112,,3,,0.5,4,NaN,5,1,5,0.94892692565918,3,0.461611032485962
1,94,,4,,0.5,4,94,3,1,3,0.246238946914673,3,0.556220054626465
2,10,106,1,3,0.5,3,106,3,1,3,1.34905004501343,2,0.756994009017944
1,72,,2,,0.8,2,72,2,1,2,0.586534023284912,3,0.470190048217773
2,338,110,1,2,0.8,2,110,3,1,2,1.19853591918945,3,0.647129058837891
2,74,100,1,3,0.5,1,74,2,1,4,1.85563921928406,1,0.892491102218628
1,108,,4,,0.5,3,NaN,5,1,5,0.864526987075806,3,0.493559837341309
1,102,,1,,0.5,2,NaN,5,1,5,1.10259699821472,3,0.462670803070068
1,84,,4,,0.8,1,NaN,5,1,5,1.09522819519043,3,0.592185974121094
