setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
2,94,78,1,3,0.8,3,78,2,1,5,0.282031059265137,2,1.04470801353455
1,352,,2,,0.5,1,NaN,5,1,5,0.980526924133301,1,0.56165599822998
1,110,,1,,0.5,1,110,3,1,3,1.80196619033813,1,0.662932157516479
1,20,,3,,0.8,3,20,4,1,2,2.50699996948242,1,1.31562900543213
2,354,338,2,3,0.5,3,338,1,1,NaN,0,1,1.43299889564514
2,342,94,1,2,0.8,1,342,1,1,3,2.59775805473328,1,0.986212968826294
2,16,82,3,4,0.8,2,NaN,5,1,5,1.3467059135437,2,0.971457004547119
1,338,,4,,0.8,4,338,1,1,4,1.76379895210266,1,0.412315845489502
1,68,,1,,0.8,4,NaN,5,1,5,0,2,0.413583993911743
2,94,78,2,3,0.8,3,78,2,1,2,2.17036700248718,1,0.402757883071899
1,112,,4,,0.5,4,112,3,1,3,1.42368006706238,2,0.35598611831665
2,78,110,1,3,0.5,4,NaN,5,1,5,0,2,0.341327905654907
1,354,,2,,0.8,1,NaN,5,1,5,1.0460991859436,2,0.310445070266724
1,102,,4,,0.8,2,NaN,5,1,5,2.23548102378845,2,0.58767294883728
2,86,106,1,3,0.8,3,106,3,1,NaN,0,2,1.94893193244934
1,110,,2,,0.5,4,NaN,5,1,5,1.41763305664062,1,0.333816051483154
2,96,354,1,3,0.5,4,NaN,5,1,5,1.0986590385437,1,0.339107990264893
2,112,10,1,3,0.5,1,112,3,1,5,2.63136196136475,2,1.28422403335571
2,102,14,1,2,0.5,3,NaN,5,1,5,0.837315082550049,1,0.341397047042847
1,16,,1,,0.8,2,NaN,5,1,5,0.749814033508301,2,0.374504089355469
1,80,,3,,0.8,3,80,2,1,2,1.79550504684448,2,0.491816997528076
1,348,,4,,0.5,2,NaN,5,1,5,0,2,0.509109020233154
2,68,348,2,3,0.8,1,NaN,5,1,5,1.20564103126526,2,0.461981773376465
2,68,352,1,3,0.8,4,NaN,5,1,5,1.25464391708374,2,0.335416078567505
1,86,,4,,0.8,4,86,2,1,2,1.52776718139648,2,0.41260814666748
1,106,,1,,0.5,3,NaN,5,1,5,0.800971031188965,1,0.357542991638184
2,8,22,2,4,0.8,3,NaN,5,1,5,1.17037200927734,2,0.518448829650879
