setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,sub,resp,respRT,conf,confRT
2,84,98,2,3,0.8,3,98,3,2,2,0.536945104598999,1,0.855121850967407
1,102,,3,,0.5,3,102,3,2,3,0.521129131317139,2,0.569949865341187
2,84,8,2,3,0.5,1,NaN,5,2,5,0,2,0.647397994995117
2,84,352,1,2,0.8,1,84,2,2,4,1.19366908073425,1,0.775528192520142
2,104,86,2,4,0.5,1,NaN,5,2,5,0,1,0.458355903625488
2,94,80,2,4,0.8,2,94,3,2,2,1.28975510597229,1,0.887923002243042
2,78,102,3,4,0.8,3,78,2,2,2,0.490123987197876,1,0.48797082901001
2,346,348,1,2,0.5,3,NaN,5,2,5,0,1,0.504165172576904
1,84,,4,,0.5,4,84,2,2,2,0.890270948410034,2,0.824509143829346
2,82,98,1,4,0.8,3,NaN,5,2,5,0,2,0.877521991729736
1,352,,3,,0.8,1,NaN,5,2,5,0,2,0.581295013427734
1,94,,4,,0.8,4,94,3,2,3,0.519330024719238,2,0.565560102462769
1,8,,4,,0.5,1,NaN,5,2,5,0,2,0.501538991928101
2,86,80,1,2,0.5,2,80,2,2,2,0.583586931228638,1,0.453724145889282
2,80,100,2,3,0.5,4,NaN,5,2,5,0,1,1.01383304595947
2,354,4,1,2,0.8,3,NaN,5,2,5,0,1,0.69410514831543
1,12,,2,,0.5,2,12,4,2,NaN,0,2,1.04620218276978
2,104,82,2,3,0.8,2,104,3,2,3,0.488281965255737,1,0.406478881835938
1,96,,4,,0.5,4,96,3,2,3,0.936239957809448,2,1.41731405258179
1,4,,3,,0.8,2,NaN,5,2,5,0,1,0.50273609161377
2,346,100,3,4,0.5,4,100,3,2,3,0.680525779724121,2,1.03093600273132
1,356,,3,,0.5,3,356,1,2,1,0.7445969581604,1,0.966901063919067
1,10,,4,,0.5,1,NaN,5,2,5,0,1,0.598868846893311
1,10,,4,,0.5,2,NaN,5,2,2,0.84107494354248,1,0.55134391784668
2,96,4,1,3,0.5,1,96,3,2,4,0.841004133224487,1,0.88721489906311
2,100,94,3,4,0.8,2,NaN,5,2,5,0,2,0.727447032928467
1,14,,1,,0.8,1,14,4,2,4,0.489238977432251,2,0.487739086151123
2,98,76,1,4,0.8,4,76,2,2,2,0.809382200241089,1,0.871840000152588
2,12,102,1,3,0.5,4,NaN,5,2,5,0,2,0.471739053726196
2,350,96,1,3,0.5,1,350,1,2,4,1.06577110290527,1,0.887899875640869
2,346,4,1,3,0.5,2,NaN,5,2,5,0,1,0.728034019470215
1,100,,3,,0.5,1,NaN,5,2,5,0,1,0.472094058990479
1,354,,3,,0.8,3,354,1,2,1,0.634253025054932,2,0.936263084411621
2,14,76,1,4,0.5,4,76,2,3,5,0,1,1.45781588554382
1,352,,2,,0.5,1,NaN,5,3,5,0,3,0.845467090606689
1,6,,1,,0.8,1,6,4,3,1,1.4397439956665,2,1.28959393501282
2,12,346,3,4,0.8,2,NaN,5,3,5,0,3,0.521477937698364
2,86,86,1,3,0.8,3,86,2,3,2,1.13591504096985,2,0.621856927871704
1,98,,4,,0.8,4,98,3,3,2,1.37597393989563,2,0.905888080596924
1,86,,4,,0.8,4,86,2,3,3,1.36008596420288,2,1.00204491615295
2,4,84,3,4,0.8,3,4,4,3,5,0,3,1.01815414428711
2,8,352,1,4,0.5,3,NaN,5,3,5,0,3,0.634405136108398
1,94,,2,,0.8,3,NaN,5,3,5,0,3,0.618492841720581
2,12,346,1,3,0.8,3,346,1,3,4,1.48865485191345,1,1.19487309455872
2,96,10,1,4,0.8,4,10,4,3,NaN,0,3,1.38703608512878
1,82,,1,,0.5,1,82,2,3,3,0.881181955337524,2,0.826941967010498
1,102,,1,,0.5,1,102,3,3,2,1.36131405830383,2,1.21141481399536
2,80,352,2,3,0.5,2,80,2,3,NaN,0,1,1.3871738910675
1,346,,3,,0.8,3,346,1,3,4,1.48950386047363,2,0.843419075012207
2,100,98,1,3,0.8,3,98,3,3,NaN,0,3,0.66756010055542
2,82,102,2,4,0.8,3,NaN,5,3,2,1.15415000915527,1,0.843786001205444
2,82,12,1,2,0.5,3,NaN,5,3,5,0,3,0.427978038787842
1,84,,3,,0.5,4,NaN,5,3,5,0,3,0.432293891906738
1,76,,3,,0.8,4,NaN,5,3,5,0,3,0.480602979660034
2,82,102,1,2,0.5,2,102,3,3,2,1.29874610900879,2,0.816524028778076
1,352,,3,,0.8,2,NaN,5,3,5,0,3,0.432682037353516
1,96,,1,,0.8,1,96,3,3,2,1.01106119155884,2,0.977195024490356
1,348,,4,,0.5,3,NaN,5,3,5,0,3,0.369332075119019
1,76,,4,,0.5,2,NaN,5,3,5,0,3,0.424993991851807
2,10,76,2,4,0.8,1,NaN,5,3,NaN,0,3,0.776777982711792
1,96,,2,,0.8,3,NaN,5,3,5,0,3,0.392956018447876
2,76,102,1,3,0.5,2,NaN,5,3,5,0,3,0.553356885910034
2,78,76,1,2,0.5,1,78,2,3,2,1.49818897247314,2,0.953516960144043
1,96,,4,,0.5,4,96,3,3,2,0.635422945022583,3,0.409406900405884
1,14,,3,,0.5,1,NaN,5,3,5,0,3,0.985826015472412
2,4,78,1,3,0.5,1,4,4,3,NaN,0,2,1.24194097518921
1,10,,1,,0.5,4,NaN,5,3,5,0,3,0.665934085845947
2,84,78,2,4,0.5,1,NaN,5,3,5,0,3,0.394163131713867
1,102,,3,,0.5,2,NaN,5,3,5,0,3,0.458276987075806
2,348,14,1,3,0.8,1,348,1,3,4,1.4874861240387,2,0.010383129119873
1,104,,3,,0.5,3,104,3,3,2,1.26457786560059,3,0.906483888626099
2,76,82,1,4,0.5,4,82,2,3,NaN,0,1,0.762754917144775
2,80,350,1,3,0.8,2,NaN,5,3,5,0,3,0.378982782363892
2,8,96,1,3,0.8,1,8,4,3,1,1.05737686157227,2,0.411180019378662
2,82,100,2,3,0.5,4,NaN,5,3,5,0,1,0.891149044036865
1,102,,2,,0.8,2,102,3,3,NaN,0,3,1.33928799629211
1,104,,4,,0.5,3,NaN,5,3,3,1.4417188167572,1,0.923548221588135
1,82,,1,,0.5,4,NaN,5,3,5,0,3,0.411724805831909
2,14,346,3,4,0.8,1,NaN,5,3,5,0,3,0.363798856735229
1,80,,3,,0.5,3,80,2,3,2,1.47446298599243,3,0.860131978988647
2,98,8,1,4,0.5,3,NaN,5,3,5,0,3,0.700424909591675
1,104,,1,,0.8,1,104,3,3,NaN,0,1,0.793763160705566
1,80,,2,,0.5,2,80,2,3,3,0.739218950271606,2,0.769710063934326
1,10,,2,,0.5,3,NaN,5,3,NaN,0,3,0.753798007965088
1,354,,4,,0.5,4,354,1,3,4,0.723630905151367,3,0.673647165298462
1,78,,2,,0.8,3,NaN,5,3,5,0,3,0.609783172607422
1,102,,3,,0.5,1,NaN,5,3,5,0,3,0.433974981307983
1,4,,3,,0.8,1,NaN,5,3,5,0,3,0.434170007705688
1,82,,2,,0.8,4,NaN,5,3,5,0,3,0.498400926589966
2,354,350,1,2,0.5,1,354,1,3,1,0.708246946334839,NaN,0
2,102,82,3,4,0.8,1,NaN,5,3,5,0,3,0.354681968688965
1,84,,3,,0.5,1,NaN,5,3,5,0,3,0.43507194519043
1,84,,3,,0.8,2,NaN,5,3,5,0,3,0.418984889984131
1,86,,3,,0.8,3,86,2,3,2,1.06102204322815,2,1.36319708824158
1,14,,4,,0.5,4,14,4,3,5,0,1,0.499335050582886
1,354,,2,,0.5,3,NaN,5,3,5,0,3,0.435727834701538
2,86,80,2,3,0.8,4,NaN,5,3,5,0,3,0.435947179794312
2,84,12,1,4,0.5,4,12,4,3,4,1.49255895614624,1,0.723778963088989
1,346,,1,,0.5,1,346,1,3,1,1.15782880783081,2,0.420153141021729
1,356,,2,,0.8,1,NaN,5,3,5,0,3,0.420145988464355
1,10,,2,,0.5,2,10,4,3,1,1.27041101455688,2,0.916331052780151
2,104,12,1,3,0.8,1,104,3,3,3,1.4931218624115,1,0.788559913635254
2,100,78,3,4,0.8,1,NaN,5,3,5,0,3,0.45271897315979
2,6,78,2,4,0.8,3,NaN,5,3,5,0,3,0.965008020401001
2,82,4,2,4,0.5,1,NaN,5,3,5,0,3,0.436931133270264
1,98,,3,,0.8,3,98,3,3,2,0.860562086105347,2,0.655300855636597
2,4,78,1,2,0.5,1,4,4,3,1,1.25665497779846,1,0.887105941772461
2,356,104,2,3,0.8,1,NaN,5,3,5,0,3,0.710883140563965
2,348,12,2,4,0.5,3,NaN,5,3,5,0,3,0.375055074691772
2,96,356,2,3,0.5,2,96,3,3,2,1.14537382125854,2,0.599386215209961
2,352,350,1,4,0.8,4,350,1,3,4,1.06539607048035,2,0.999726057052612
1,8,,3,,0.5,3,8,4,3,1,1.32172799110413,NaN,0
1,8,,3,,0.8,3,8,4,3,4,0.793640851974487,3,0.407938003540039
2,84,102,1,4,0.8,4,102,3,3,NaN,0,1,1.07985401153564
1,94,,2,,0.5,2,94,3,3,2,0.585872888565063,2,0.42409610748291
1,80,,4,,0.8,4,80,2,3,2,0.746074914932251,3,0.424206972122192
2,76,4,2,3,0.5,3,4,4,3,2,1.41851401329041,1,0.520364999771118
1,350,,1,,0.8,3,NaN,5,3,5,0,3,0.648602962493896
2,356,10,1,4,0.5,2,NaN,5,3,5,0,3,0.376579999923706
1,348,,4,,0.8,4,348,1,3,1,0.634696960449219,2,0.489145994186401
2,80,76,1,4,0.5,4,76,2,3,4,1.49812507629395,1,1.12919592857361
1,10,,3,,0.8,3,10,4,3,NaN,0,3,1.4814760684967
1,356,,3,,0.8,2,NaN,5,3,5,0,3,0.441375017166138
1,104,,1,,0.8,1,104,3,3,3,0.891682863235474,2,0.889604091644287
2,10,348,2,4,0.8,1,NaN,5,3,5,0,3,0.457613945007324
1,6,,4,,0.8,4,6,4,3,4,0.571899890899658,3,0.842171907424927
2,14,104,3,4,0.5,3,14,4,3,NaN,0,1,1.1781599521637
1,8,,2,,0.8,3,NaN,5,3,5,0,3,0.442289113998413
2,14,104,3,4,0.8,3,14,4,3,3,1.48766613006592,1,1.06631803512573
1,86,,1,,0.8,3,NaN,5,3,5,0,3,0.58373498916626
2,80,84,2,4,0.8,3,NaN,5,3,5,0,3,0.411100149154663
2,8,354,1,4,0.8,1,8,4,3,1,0.865389823913574,NaN,0
2,10,104,2,3,0.5,3,104,3,3,2,0.705825090408325,1,0.363322973251343
2,78,94,1,2,0.5,3,NaN,5,3,5,0,3,0.459563970565796
2,78,84,3,4,0.5,3,78,2,3,3,0.721996068954468,NaN,0
2,352,86,1,4,0.8,4,86,2,3,3,1.18613910675049,1,0.39582085609436
2,80,14,2,4,0.8,1,NaN,5,3,5,0,3,0.380319833755493
2,4,6,1,3,0.8,2,NaN,5,3,5,0,3,0.828229904174805
2,348,98,3,4,0.5,1,NaN,5,3,5,0,3,0.460270881652832
2,6,8,2,3,0.8,2,6,4,3,1,1.18663001060486,NaN,0
1,354,,2,,0.5,3,NaN,5,3,5,0,3,0.444652080535889
1,78,,4,,0.5,4,78,2,3,3,0.915266990661621,NaN,0
1,354,,3,,0.8,3,354,1,3,1,0.803030014038086,3,0.385262966156006
1,6,,2,,0.5,2,6,4,3,4,1.05934810638428,3,0.561691045761108
1,98,,1,,0.8,3,NaN,5,3,NaN,0,3,0.609580993652344
1,102,,2,,0.5,1,NaN,5,3,5,0,3,0.337955951690674
2,354,4,2,3,0.5,3,4,4,3,1,1.41170406341553,2,1.04218792915344
2,102,102,1,2,0.8,3,NaN,5,3,5,0,3,0.402322053909302
1,12,,1,,0.8,3,NaN,5,3,5,0,3,0.434319019317627
2,102,80,2,3,0.8,4,NaN,5,3,5,1.49137902259827,3,0.0664069652557373
1,80,,3,,0.5,1,NaN,5,3,5,0,3,0.626548051834106
2,8,352,3,4,0.8,4,352,1,3,4,0.804877996444702,2,0.755146026611328
1,94,,1,,0.5,2,NaN,5,3,5,0,3,0.466887950897217
2,348,96,2,3,0.5,3,96,3,3,3,0.876744985580444,1,0.806904792785645
1,12,,1,,0.5,2,NaN,5,3,5,0,3,0.394357204437256
1,348,,3,,0.8,2,NaN,5,3,5,0,3,0.490577936172485
1,104,,3,,0.5,3,104,3,3,2,0.640916109085083,2,0.410559892654419
2,354,102,2,3,0.8,1,NaN,5,3,5,0,3,0.490827083587646
2,86,348,2,4,0.5,2,86,2,3,2,1.24938106536865,1,0.795047998428345
1,86,,1,,0.5,2,NaN,5,3,5,0,3,0.411101818084717
1,346,,4,,0.8,1,NaN,5,3,5,0,3,0.379299879074097
2,78,10,1,2,0.8,3,NaN,5,3,5,0,3,0.395609855651855
2,350,12,1,2,0.8,1,350,1,3,1,1.02600407600403,2,0.571703910827637
2,78,356,3,4,0.8,4,356,1,3,2,0.946147918701172,1,0.972064971923828
1,10,,1,,0.5,1,10,4,3,4,0.690129041671753,3,0.412259101867676
2,82,4,3,4,0.8,1,NaN,5,3,5,0,3,0.460099935531616
1,86,,2,,0.8,3,NaN,5,3,5,0,3,0.476217031478882
2,78,4,2,4,0.8,2,78,2,3,3,1.48966312408447,2,0.87644100189209
1,6,,1,,0.5,1,6,4,3,4,0.642749071121216,3,0.796702861785889
1,78,,4,,0.5,4,78,2,3,3,1.41097211837769,2,0.865108013153076
2,6,346,1,2,0.5,2,346,1,3,2,1.4432098865509,1,0.673321962356567
2,6,356,1,3,0.8,4,NaN,5,3,5,0,3,0.417290925979614
1,102,,2,,0.5,1,NaN,5,3,5,0,3,0.369827032089233
1,4,,2,,0.8,2,4,4,3,4,1.21963286399841,3,0.705646991729736
1,350,,1,,0.8,4,NaN,5,3,5,0,3,0.434067010879517
1,78,,4,,0.8,4,78,2,3,2,0.931809902191162,3,0.56196403503418
2,356,350,2,4,0.8,2,356,1,3,4,1.17216396331787,1,0.530543088912964
2,4,96,1,3,0.5,1,4,4,3,4,0.593631029129028,3,1.4633150100708
1,78,,4,,0.8,3,NaN,5,3,5,0,3,0.755936145782471
1,10,,1,,0.5,4,NaN,5,3,5,0,3,0.388063192367554
2,350,104,1,2,0.8,4,NaN,5,3,5,0,3,0.404171943664551
2,104,94,2,4,0.5,2,104,3,3,2,1.25417804718018,2,0.756684064865112
2,100,348,1,3,0.5,2,NaN,5,3,5,0,3,0.324661016464233
1,78,,2,,0.5,3,NaN,5,3,5,0,3,0.740683794021606
2,104,78,1,3,0.8,1,104,3,3,3,0.886754035949707,1,0.45271897315979
1,350,,3,,0.8,4,NaN,5,3,5,0,3,0.453296184539795
1,14,,4,,0.8,3,NaN,5,3,5,0,3,0.405447006225586
1,8,,2,,0.5,2,8,4,3,1,1.04729795455933,NaN,0
2,356,12,2,4,0.5,2,356,1,3,2,1.03173494338989,2,0.437808990478516
2,4,6,3,4,0.8,1,NaN,5,3,5,0,3,0.421609878540039
2,350,78,1,2,0.5,1,350,1,3,1,1.49476099014282,2,0.757855176925659
2,12,94,2,4,0.8,4,94,3,3,2,1.27201008796692,2,1.47807097434998
1,10,,4,,0.8,4,10,4,3,4,0.711997032165527,3,0.406469821929932
2,104,8,1,3,0.8,4,NaN,5,3,5,0,3,0.486384153366089
2,12,78,1,4,0.8,4,78,2,3,3,1.49542093276978,2,0.902370929718018
2,94,76,2,3,0.5,4,NaN,5,3,5,0,1,0.6145920753479
1,356,,3,,0.8,3,356,1,3,4,0.760757923126221,1,0.7429039478302
1,354,,1,,0.8,4,NaN,5,3,5,0,3,0.439164161682129
2,4,8,1,2,0.5,4,NaN,5,3,5,0,3,0.711174964904785
2,10,80,1,3,0.5,3,80,2,3,2,1.38534092903137,1,1.17551803588867
1,84,,2,,0.5,2,84,2,3,2,1.09771084785461,2,1.15948390960693
1,76,,1,,0.5,4,NaN,5,3,5,0,3,0.777982950210571
2,6,102,2,4,0.5,4,102,3,3,5,0,1,0.401511907577515
1,96,,4,,0.8,4,96,3,3,3,1.45960116386414,2,0.929654121398926
1,350,,4,,0.5,4,350,1,3,1,0.771638154983521,3,0.689723014831543
1,14,,1,,0.8,4,NaN,5,3,5,0,3,0.642169952392578
1,356,,2,,0.5,2,356,1,3,1,1.39611887931824,2,0.530517816543579
2,82,104,1,4,0.5,2,NaN,5,3,5,0,3,0.402267932891846
1,356,,4,,0.5,4,356,1,3,1,0.996257066726685,3,0.402423143386841
1,352,,4,,0.5,2,NaN,5,3,5,0,3,0.514689922332764
1,6,,4,,0.8,1,NaN,5,3,5,0,3,0.43486499786377
2,100,354,1,4,0.5,3,NaN,5,3,5,0,3,0.387302160263062
2,100,8,1,2,0.5,3,NaN,5,3,5,0,3,0.627264976501465
2,6,78,1,4,0.5,4,78,2,3,3,1.10921382904053,1,0.467639923095703
2,78,350,3,4,0.8,3,78,2,3,3,1.07744288444519,2,0.899516105651855
2,8,86,1,2,0.5,4,NaN,5,3,5,0,3,0.419788122177124
2,102,356,2,3,0.8,1,NaN,5,3,5,0,3,0.403921842575073
2,80,356,3,4,0.5,4,356,1,3,4,1.31775379180908,1,0.531904935836792
2,78,102,3,4,0.5,1,NaN,5,3,5,0,3,0.516288995742798
1,104,,1,,0.8,4,NaN,5,3,5,0,3,0.436193943023682
1,10,,2,,0.5,2,10,4,3,4,0.598249912261963,3,0.356523990631104
2,12,350,2,3,0.8,1,NaN,5,3,5,0,3,0.420713901519775
2,346,4,2,3,0.5,1,NaN,5,3,NaN,0,3,1.22110509872437
2,100,346,1,2,0.5,1,100,3,3,2,1.15881299972534,1,0.516930818557739
1,98,,4,,0.8,1,NaN,5,3,5,0,3,0.709035158157349
1,76,,4,,0.8,4,76,2,4,5,0,NaN,0
2,80,352,3,4,0.5,4,352,1,4,NaN,0,NaN,0
1,78,,3,,0.8,4,NaN,5,4,5,0,1,1.01497483253479
1,4,,3,,0.5,3,4,4,4,4,1.49860787391663,2,1.1111261844635
2,100,8,2,3,0.5,4,NaN,5,4,5,1.45339417457581,1,0.459255933761597
1,82,,1,,0.5,2,NaN,5,4,5,0,1,0.423498153686523
1,356,,1,,0.5,1,356,1,4,4,1.26175689697266,NaN,0
2,86,348,3,4,0.5,2,NaN,5,4,5,0.973804950714111,NaN,0
2,94,356,2,4,0.5,4,356,1,4,NaN,0,NaN,0
2,8,102,2,3,0.5,1,NaN,5,4,2,0.461916923522949,1,0.47185206413269
1,4,,3,,0.5,2,NaN,5,4,5,0.926028966903687,1,0.407975196838379
2,94,76,1,3,0.8,1,94,3,4,4,1.4879789352417,1,0.776259899139404
2,96,84,1,3,0.8,4,NaN,5,4,2,0.638312101364136,2,0.472516059875488
2,356,350,1,3,0.5,2,NaN,5,4,5,1.24682593345642,1,0.440685987472534
1,12,,1,,0.8,1,12,4,4,NaN,0,NaN,0
2,354,100,1,2,0.8,1,354,1,4,1,1.48853993415833,2,0.664952039718628
2,96,82,2,4,0.8,3,NaN,5,4,2,0.542795896530151,2,0.472811937332153
2,80,84,2,4,0.5,4,84,2,4,4,1.43905806541443,NaN,0
1,354,,1,,0.8,2,NaN,5,4,5,0.97522497177124,2,0.489168882369995
2,104,348,3,4,0.5,1,NaN,5,4,2,0.783210039138794,2,0.425579786300659
2,6,4,2,4,0.8,2,6,4,4,NaN,0,NaN,0
2,350,8,1,4,0.8,2,NaN,5,4,5,0.991801023483276,2,1.00146698951721
1,354,,4,,0.5,4,354,1,4,4,0.912014007568359,2,0.537812948226929
1,102,,3,,0.8,3,102,3,4,4,0.815858840942383,1,1.48382687568665
2,80,8,1,3,0.8,4,NaN,5,4,5,0.83227014541626,2,0.473963975906372
2,82,6,2,4,0.5,1,NaN,5,4,5,1.02445006370544,2,0.494746208190918
1,96,,4,,0.8,2,NaN,5,4,5,0.992480993270874,1,0.430611848831177
1,348,,4,,0.5,2,NaN,5,4,3,0.992506980895996,1,0.382818937301636
1,78,,4,,0.5,1,NaN,5,4,5,0,1,0.350791931152344
2,346,102,2,4,0.8,2,346,1,4,4,1.24874997138977,1,0.510909080505371
1,98,,1,,0.8,4,NaN,5,4,5,0,2,0.850059986114502
1,354,,3,,0.5,4,NaN,5,4,3,1.20004320144653,2,0.570035934448242
1,104,,1,,0.5,4,NaN,5,4,5,0.864284038543701,3,0.49026894569397
2,6,356,3,4,0.8,4,356,1,4,4,1.40834093093872,1,1.00230884552002
1,10,,1,,0.8,2,NaN,5,4,NaN,0,NaN,0
2,356,10,1,4,0.5,3,NaN,5,4,5,1.10446214675903,2,0.714331865310669
1,96,,1,,0.5,1,96,3,4,3,0.528650045394897,NaN,0
2,354,98,2,3,0.5,3,98,3,4,NaN,0,NaN,0
2,4,96,2,3,0.8,4,NaN,5,4,NaN,0,NaN,0
2,350,350,3,4,0.8,4,350,1,4,3,1.10496997833252,1,1.00306391716003
1,80,,4,,0.5,4,80,2,4,2,1.48900198936462,2,1.21143913269043
1,94,,2,,0.8,3,NaN,5,4,2,1.10544180870056,3,0.459190130233765
1,356,,1,,0.5,4,NaN,5,4,5,0.897461891174316,3,0.411699771881104
1,6,,3,,0.8,3,6,4,4,4,1.28172016143799,2,0.77991509437561
1,94,,3,,0.8,3,94,3,4,3,1.25004911422729,3,0.928057909011841
2,94,98,2,3,0.5,2,94,3,4,5,0,1,0.66779088973999
1,94,,4,,0.8,4,94,3,4,3,0.466181039810181,2,1.15489196777344
1,350,,1,,0.8,1,350,1,4,1,1.07426118850708,NaN,0
1,4,,2,,0.8,2,4,4,4,4,0.626287937164307,3,0.944730997085571
2,6,78,2,4,0.8,2,6,4,4,4,1.36244511604309,1,0.433000087738037
2,6,14,2,4,0.8,4,14,4,4,3,1.4745659828186,1,0.59260892868042
2,4,76,1,3,0.8,2,NaN,5,4,3,1.12269806861877,1,0.480922937393188
1,10,,3,,0.8,3,10,4,4,4,1.17080497741699,3,0.689349174499512
2,76,346,1,3,0.8,1,76,2,4,NaN,0,NaN,0
2,96,104,1,3,0.5,3,104,3,4,3,1.49092984199524,1,1.47355794906616
2,348,78,2,4,0.8,2,348,1,4,NaN,0,2,0.305738925933838
2,94,104,1,2,0.5,2,104,3,4,3,0.723521947860718,1,0.785623073577881
1,8,,1,,0.8,2,NaN,5,4,5,1.07561707496643,2,0.59375
1,356,,2,,0.5,2,356,1,4,4,1.10762095451355,NaN,0
1,94,,3,,0.5,4,NaN,5,4,5,0.995959043502808,3,0.625999212265015
2,6,80,1,4,0.8,1,6,4,4,NaN,0,NaN,0
2,82,98,1,2,0.5,3,NaN,5,4,2,0.884658098220825,2,0.499015092849731
2,86,96,1,4,0.5,4,96,3,4,NaN,0,1,1.37911891937256
2,78,352,1,3,0.5,2,NaN,5,4,5,0.91728687286377,1,0.419119834899902
2,94,352,1,4,0.8,4,352,1,4,2,1.17323017120361,1,0.403212070465088
2,76,78,2,4,0.8,1,NaN,5,4,5,1.07750391960144,1,0.419394969940186
2,350,352,2,4,0.5,3,NaN,5,4,5,0,1,0.323535919189453
1,82,,4,,0.5,3,NaN,5,4,5,0.757504940032959,2,0.886556148529053
2,78,10,1,4,0.8,1,78,2,4,NaN,0,NaN,0
2,346,356,1,2,0.8,4,NaN,5,4,5,0,2,1.44423198699951
1,84,,4,,0.5,4,84,2,4,2,1.1902220249176,3,1.10817193984985
1,76,,3,,0.8,2,NaN,5,4,5,0.934184074401855,NaN,0
2,14,86,1,4,0.8,3,NaN,5,4,5,0,1,1.34867310523987
2,10,352,2,3,0.8,2,10,4,4,4,1.49332690238953,2,0.00457906723022461
2,78,98,3,4,0.5,1,NaN,5,4,2,1.35068297386169,1,0.340749979019165
1,76,,1,,0.8,2,NaN,5,4,5,0.902791976928711,2,0.709078073501587
2,80,10,1,2,0.8,2,10,4,4,NaN,0,2,0.100983858108521
1,8,,2,,0.5,2,8,4,4,4,1.03127598762512,3,1.48818707466125
2,100,348,3,4,0.8,3,100,3,4,4,1.44703197479248,1,0.613239049911499
2,12,104,1,4,0.5,2,NaN,5,4,5,0,2,0.901472091674805
2,346,86,2,4,0.8,2,346,1,4,2,1.27136898040771,1,0.453567981719971
2,6,348,2,3,0.8,3,348,1,4,4,0.983503103256226,1,0.373909950256348
2,100,82,3,4,0.8,4,82,2,4,3,0.954396963119507,1,0.326045989990234
2,76,8,2,4,0.5,4,8,4,4,2,1.0317440032959,1,0.469866991043091
2,352,102,2,4,0.5,2,352,1,4,2,0.471990823745728,2,0.678108930587769
2,100,96,2,3,0.8,4,NaN,5,4,5,0.984496831893921,2,0.390453815460205
2,350,346,2,3,0.8,4,NaN,5,4,5,0,2,0.374401092529297
1,352,,2,,0.5,3,NaN,5,4,5,0.904361963272095,2,0.422796010971069
1,10,,4,,0.8,4,10,4,4,4,0.96845006942749,3,0.630702972412109
2,8,82,1,4,0.5,2,NaN,5,4,5,0.888598918914795,2,0.742780923843384
1,86,,3,,0.5,3,86,2,4,2,0.418359994888306,3,1.04261207580566
1,102,,3,,0.5,4,NaN,5,4,5,0.968079090118408,3,1.04629111289978
1,80,,2,,0.8,4,NaN,5,4,5,0.936276912689209,3,0.454216957092285
1,86,,2,,0.8,3,NaN,5,4,5,0.840270042419434,2,0.518519878387451
1,14,,1,,0.5,1,14,4,4,4,1.22448682785034,3,0.838650941848755
2,76,78,2,4,0.8,3,NaN,5,4,5,0.72881007194519,2,0.376131057739258
2,14,102,1,3,0.5,1,14,4,4,NaN,0,NaN,0
1,348,,2,,0.8,2,348,1,4,1,0.488852024078369,3,0.807013988494873
2,104,94,1,3,0.8,1,104,3,4,NaN,0,NaN,0
1,354,,3,,0.5,4,NaN,5,4,5,0.793210029602051,2,0.663496017456055
2,100,104,2,3,0.8,4,NaN,5,4,5,0.809535980224609,2,0.391686201095581
2,80,346,1,2,0.8,4,NaN,5,4,5,0.857422828674316,2,0.343724012374878
1,76,,1,,0.5,1,76,2,4,1,0.553875923156738,1,0.871953964233398
2,82,6,2,3,0.8,1,NaN,5,4,5,1.2580931186676,2,1.49216222763062
2,78,86,1,4,0.5,1,78,2,4,NaN,0,NaN,0
2,80,6,2,3,0.8,2,80,2,4,NaN,0,NaN,0
2,86,14,1,4,0.5,2,NaN,5,4,NaN,0,NaN,0
2,356,356,1,2,0.5,3,NaN,5,4,2,1.4824070930481,NaN,0
1,4,,2,,0.5,1,NaN,5,4,5,0,3,0.504626035690308
2,14,98,1,3,0.8,3,98,3,4,NaN,0,NaN,0
1,80,,2,,0.8,1,NaN,5,4,5,0.991036891937256,1,0.411733865737915
2,96,84,2,3,0.5,4,NaN,5,4,5,0,2,0.40934681892395
1,8,,2,,0.8,4,NaN,5,4,5,0,1,0.953155994415283
1,10,,3,,0.8,3,10,4,4,4,1.13531303405762,3,0.377284049987793
1,354,,3,,0.5,2,NaN,5,4,3,0.815636157989502,1,0.77745509147644
2,6,6,1,3,0.8,2,NaN,5,4,5,0,1,0.585692882537842
1,104,,1,,0.8,3,NaN,5,4,5,0,3,0.569691896438599
2,98,10,3,4,0.5,2,NaN,5,4,5,0.768167018890381,3,0.457973003387451
1,104,,3,,0.5,3,104,3,4,3,0.512003183364868,NaN,0
2,104,352,1,4,0.8,2,NaN,5,4,5,0.704409837722778,3,0.330045938491821
2,10,356,1,4,0.5,1,10,4,4,NaN,0,NaN,0
1,348,,4,,0.8,4,348,1,4,4,0.52192497253418,1,0.391812801361084
1,78,,2,,0.8,4,NaN,5,4,2,0.633964061737061,2,0.503971099853516
1,94,,3,,0.8,3,94,3,4,3,0.441911935806274,3,0.440177917480469
1,102,,3,,0.8,4,NaN,5,4,5,0,3,0.64820408821106
1,76,,1,,0.8,1,76,2,4,2,0.458139896392822,1,1.49234890937805
2,10,8,3,4,0.8,2,NaN,5,4,5,0,2,0.392522096633911
2,6,6,1,2,0.8,2,6,4,4,4,1.27449893951416,2,1.22469115257263
1,98,,2,,0.8,2,98,3,4,3,0.378777027130127,2,1.17704010009766
1,84,,4,,0.8,2,NaN,5,4,5,0,3,0.408883094787598
1,10,,3,,0.8,2,NaN,5,4,5,0,3,0.617007970809937
