setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,sub,resp,respRT,conf,confRT
1,80,,4,,0.5,4,80,2,1,2,0.730069875717163,3,0.408201932907104
2,350,94,2,3,0.5,1,NaN,5,1,5,0,3,0.456562995910645
2,352,356,1,4,0.8,3,NaN,5,1,5,0,2,1.12852716445923
2,4,356,2,4,0.8,1,NaN,5,1,1,1.1144847869873,NaN,0
1,80,,3,,0.5,3,80,2,1,2,0.842719078063965,3,0.872880935668945
2,356,10,3,4,0.8,1,NaN,5,1,5,1.05108308792114,2,0.537083864212036
1,78,,2,,0.5,3,NaN,5,1,5,0,2,1.11322784423828
1,354,,1,,0.8,1,354,1,1,1,0.843239068984985,3,0.649615049362183
1,346,,1,,0.5,2,NaN,5,1,5,0,3,0.425410032272339
1,352,,3,,0.5,4,NaN,5,1,5,0,2,0.617913007736206
1,86,,1,,0.8,1,86,2,1,2,0.939789056777954,3,0.969796895980835
1,102,,2,,0.8,3,NaN,5,1,5,0,2,0.906033992767334
2,352,350,1,3,0.8,1,352,1,1,1,1.27622389793396,3,0.906224012374878
1,14,,4,,0.8,1,NaN,5,1,5,0,3,0.506364107131958
1,348,,3,,0.5,4,NaN,5,1,5,0,3,0.618547916412354
1,354,,2,,0.5,2,354,1,1,1,0.912811994552612,3,0.890641927719116
2,4,346,2,4,0.5,2,4,4,1,NaN,0,3,0.966957807540894
2,4,100,1,4,0.5,3,NaN,5,1,1,0.89641809463501,3,0.730419158935547
2,78,346,1,2,0.8,1,78,2,1,2,1.20061802864075,3,0.938688039779663
2,100,82,1,4,0.8,1,100,3,1,2,1.48782205581665,3,0.794664859771729
2,104,98,1,2,0.5,1,104,3,1,3,1.24879884719849,3,1.49387192726135
2,352,354,2,4,0.8,1,NaN,5,1,5,0,3,0.811161994934082
1,104,,3,,0.5,3,104,3,1,3,0.785233020782471,3,0.683090925216675
2,354,348,1,2,0.8,2,348,1,1,1,0.945523023605347,2,0.763398885726929
1,86,,3,,0.5,1,NaN,5,1,1,1.24960398674011,NaN,0
1,96,,1,,0.5,1,96,3,1,2,0.753736972808838,3,0.747870922088623
1,102,,4,,0.5,4,102,3,1,3,0.929834842681885,3,0.667963981628418
1,350,,3,,0.5,3,350,1,1,1,1.15416598320007,3,0.747904062271118
1,78,,3,,0.5,3,78,2,1,2,1.02629804611206,3,0.812104940414429
1,14,,2,,0.8,2,14,4,1,4,0.834230899810791,3,0.47649097442627
2,352,84,3,4,0.8,4,84,2,1,3,1.48944592475891,1,1.48441004753113
1,4,,1,,0.5,1,4,4,1,4,0.818686008453369,3,0.416961908340454
2,10,104,1,2,0.8,4,NaN,5,1,5,0,3,0.609127044677734
