setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,6,,3,,0.5,2,NaN,5,1,5,0,3,0.598960876464844
2,86,342,2,3,0.8,4,NaN,5,1,5,0,3,0.613604068756104
1,6,,3,,0.5,3,6,4,1,4,0.839478015899658,2,0.751453876495361
1,76,,2,,0.8,3,NaN,5,1,5,0,3,0.445739984512329
1,4,,1,,0.8,3,NaN,5,1,5,0,3,0.519854068756104
2,96,346,3,4,0.8,1,NaN,5,1,5,0,3,0.678133964538574
1,102,,2,,0.5,3,NaN,5,1,5,0,3,1.1404390335083
1,4,,2,,0.8,3,NaN,5,1,5,0,3,0.830514907836914
1,342,,3,,0.8,4,NaN,5,1,5,0,3,0.892873048782349
1,4,,1,,0.8,1,4,4,1,4,1.24676108360291,3,0.998847961425781
2,348,106,2,4,0.8,2,348,1,1,1,1.73690104484558,2,1.49317121505737
2,338,86,1,2,0.8,1,338,1,1,1,1.49536395072937,3,1.0871000289917
1,102,,1,,0.5,1,102,3,1,3,1.44120287895203,3,1.37340402603149
2,356,4,2,4,0.5,1,NaN,5,1,5,1.96764898300171,3,0.951773881912231
1,350,,1,,0.8,1,350,1,1,5,0,3,0.517910003662109
2,84,84,2,4,0.5,4,84,2,1,2,1.32003116607666,2,0.751951932907104
1,100,,2,,0.8,2,100,3,1,3,1.31406593322754,3,1.13454699516296
2,76,70,3,4,0.5,4,70,2,1,2,1.40829682350159,3,0.792210817337036
1,344,,3,,0.5,3,344,1,1,1,1.22633004188538,3,0.870714902877808
2,22,104,2,3,0.5,4,NaN,5,1,5,0,3,1.01908206939697
1,12,,2,,0.5,3,NaN,5,1,5,0.857006788253784,3,0.592859983444214
2,110,354,2,3,0.8,4,NaN,5,1,5,0.931107044219971,3,0.5710129737854
2,76,80,1,3,0.5,3,80,2,1,1,1.20161199569702,3,0.569247961044312
1,82,,1,,0.8,2,NaN,5,1,5,1.08333516120911,3,0.467525005340576
2,100,72,2,4,0.5,4,72,2,1,2,1.16174721717834,2,0.961632966995239
1,68,,2,,0.8,3,NaN,5,1,5,0.787689924240112,3,0.860028982162476
2,4,16,2,4,0.5,3,NaN,5,1,5,0,3,1.11405205726624
2,102,86,3,4,0.8,1,NaN,5,1,5,0.940318822860718,3,0.708590030670166
2,104,100,1,4,0.8,4,100,3,1,3,0.778595924377441,3,0.5624098777771
1,102,,2,,0.8,1,NaN,5,1,5,0,3,0.588556051254272
1,356,,1,,0.5,1,356,1,1,1,1.05889987945557,3,0.954810857772827
1,106,,1,,0.5,1,106,3,1,3,0.716881990432739,3,1.07705593109131
2,342,6,1,4,0.8,3,NaN,5,1,5,0,3,0.547476053237915
1,86,,4,,0.8,3,NaN,5,1,5,0,3,0.817414045333862
2,344,106,1,2,0.8,2,106,3,1,4,1.29978179931641,2,0.443610191345215
2,344,76,1,2,0.5,1,344,1,1,1,1.53353309631348,2,0.441816091537476
2,110,338,3,4,0.5,4,338,1,1,1,1.30796790122986,3,0.516216993331909
1,78,,4,,0.5,4,78,2,1,2,0.550040006637573,3,0.546541929244995
1,108,,4,,0.5,3,NaN,5,1,5,0,3,0.668612003326416
2,10,4,1,4,0.8,2,NaN,5,1,5,0,3,0.61872410774231
